availability_30,availability_60,availability_90,availability_365
12,17,47,138
5,15,39,129
0,10,33,248
5,35,65,340
2,8,13,261
5,10,24,250
0,0,0,0
1,3,33,308
0,1,5,5
14,44,74,74
18,48,78,78
14,44,74,164
0,10,10,44
0,0,0,0
26,56,86,361
7,11,18,88
1,1,9,256
0,0,0,0
3,9,20,119
13,28,58,59
7,9,15,227
28,58,88,88
30,60,90,90
29,59,89,364
0,0,0,0
21,45,74,298
23,53,82,82
4,4,4,4
27,57,87,362
0,0,0,0
2,2,2,2
0,0,0,0
19,19,19,84
15,25,32,280
19,49,79,170
28,58,88,356
27,57,87,178
30,60,90,90
22,46,63,330
16,23,52,76
0,0,0,127
2,3,10,129
30,60,90,365
2,6,6,6
22,52,82,172
1,18,18,18
28,58,88,88
0,0,0,0
5,29,58,333
0,0,0,0
1,20,50,279
0,0,0,0
0,0,0,0
0,0,0,0
5,20,50,320
1,4,23,144
0,0,0,0
13,21,40,298
0,0,0,0
0,0,0,0
12,22,37,170
2,2,29,304
30,60,90,365
10,40,56,316
5,11,33,267
3,3,22,253
6,10,29,182
5,10,40,224
14,30,57,316
0,0,0,0
29,59,89,364
0,0,0,9
4,6,12,42
14,30,37,291
0,0,0,0
5,13,27,107
15,34,46,311
30,60,90,179
0,0,0,0
23,53,54,323
2,17,43,196
11,29,30,30
29,59,89,364
13,30,37,37
0,0,0,0
1,1,30,30
8,16,29,154
11,29,57,264
4,21,51,141
29,59,89,89
4,4,4,4
7,36,66,341
5,30,47,122
30,60,90,365
14,15,19,268
7,7,7,7
3,6,11,80
4,16,44,44
21,40,64,107
0,0,0,0
11,22,34,156
23,51,81,352
0,0,0,0
0,0,0,0
13,13,13,207
6,23,47,311
30,60,90,365
4,4,4,4
17,47,73,327
0,0,0,0
0,0,0,0
10,16,28,293
0,0,0,0
0,0,0,0
21,46,73,345
4,20,46,47
30,60,90,365
28,58,88,363
0,0,0,0
0,0,0,0
8,17,44,230
15,45,74,74
0,0,0,0
0,0,0,0
23,53,83,358
28,58,88,363
4,14,22,280
2,5,6,207
11,15,15,16
0,0,0,0
30,60,90,90
0,0,0,0
30,60,90,365
0,0,0,0
28,58,88,88
30,60,90,180
23,53,83,358
0,0,0,109
10,34,64,154
0,0,0,0
0,0,0,0
0,0,0,0
29,59,89,89
17,47,77,229
22,52,82,82
11,17,24,210
0,0,0,0
30,60,90,180
7,7,17,203
17,27,27,27
5,6,26,301
0,0,0,0
4,8,14,270
0,0,0,0
5,35,65,155
4,24,54,187
6,13,22,22
9,21,49,72
0,0,0,0
0,0,0,0
25,47,73,164
0,0,0,0
0,0,0,0
16,37,59,334
15,45,71,341
6,12,20,88
0,0,0,0
0,0,0,0
28,58,88,363
7,37,67,277
0,0,0,0
30,60,90,365
27,57,87,109
0,0,0,0
0,0,0,0
0,0,0,40
0,0,0,270
1,1,6,148
5,5,5,5
10,32,56,146
0,0,0,0
0,0,0,250
0,8,22,223
3,10,19,40
